timestamp,speaker,words,tags
[0:00],,"""Get on Board Little Children"" plays",
[1:00],Roy B. Adams,These are a few memories of my life. I'm gonna tell you some of the games I used to play as I grew up in Memphis. ,
[1:10],Roy B. Adams,"Used to go to Riverside Golf Course. Jim Burks and I would walk about six miles carrying four golf clubs, and we would get there before they opened the course so we could play for free. And then we'd go down, on the second hole we'd hunt for gold balls and take them and clean them up and sell them back to the people, the other golfers that came later on.",games;golf
[1:36],Roy B. Adams,"Another game we used to play was ""Kick the Can"" and also marbles. We played ""Paddy Grows"" [?], ""Ring"", ""Tag-along"", and just different marble games.",games
[1:55],Roy B. Adams,"We also used to shag golf balls at the park. We'd take a golf club, and I'd get out in the field, and Jim would drive a golf ball, and I would try to shag it down with a glove, which helped us in our ball games and all.",games;golf
[2:10],Roy B. Adams,"One time we were playing ball with the Junior American Legion team, and I was catching and Jim was pitching. So we thought we'd act like real ball players, the professionals. So I had a little plug of chewing tobacco in my mouth, chewing on it and spitting out like the catchers did, acting like a pro. Jim threw a ball and the batter fouled it off, hit me right in the center of my stomach, and I swallowed it, and I fell flat on my back and the world was just turning round and round. And I was sick as a pope [?] and I never did that again.",games;baseball
[2:49],Roy B. Adams,"We used to play sandlot games on Saturdays, and it would be a choose-up of sides, all the different kids from the neighborhood would come, and we'd go to this vacant field behind our house on Ridgeway. And we would chose a leader of each team, opposing team, and in order to choose the players, we would take a bat and one of us would throw it to the other and he would catch it. And I would say ""whole hand or none or crow's pick"". And what he would have to do is take it right where he had it and throw it over his shoulder or, if I said crow's pick, he would have to pick it up by the handle and throw it over his shoulder. And if he did it correctly, he would get first choice or second choice. ",games;baseball
[3:38],Roy B. Adams,"And we would play with balls that were taped up, sewed up. Batts that had nails in them. But we had a good time and really enjoyed it. Ball, baseball or softball, were two of the games I really enjoyed playing.",games;baseball
[3:51],Roy B. Adams,"One time we were playing in the field and it started raining. We ran under a big tree to keep from getting wet. And lightening struck the tree. And one of the boys, his name was Joe Straiter [sp?], was hit by the lightning, and it knocked him flat and he was unconcsious for a while. He recovered but he still suffered later on in life from the shoulder wound.",games;baseball;health
[4:19],Roy B. Adams,"Another time we were stealing apples from a rancher named Squire Clancy. One of us was up in the tree, I can't remember who, but the squire came over the hilltop and fired a shotgun filled with dried butter beans and rock salt at us. And I can't recall who got hit, but we picked rock salt out of his backside for a long, long time. We never did that again.",mischief;health
[4:47],Roy B. Adams,"The other thing that we used to do is, on Squire Clancy's property, he had watermelons. In the evenings or late nights, we'd go out and get a watermelon, take it up on the hilltop, and break it open on a stump which was up there. And then we'd just eat the center, or the ""choice loin"" so to speak, of the watermelon.",mischief
[5:07],Roy B. Adams,"One time, Squire Clancy was waiting on us with the same shotgun loaded with the same rock salt and dried butter beans, and he fired at us and we scampered down the hill. We never did that again.",mischief
